file_url,due_date,description,title,priority,actual_hours,estimated_hours,progress,pop_codigo,category,status,assigned_to,start_date,id,created_date,updated_date,created_by_id,is_sample
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/4581fe7c9_POP_06_Marketing_Conteudo.pdf","2030-02-20","Gerar demanda qualificada, fortalecer autoridade da Prime Odontologia e apoiar o crescimento sustentável da clínica.","POP 06 - Marketing & Conteúdo","high","","","0","POP 06","marketing","pending","Maria (Marketing & SEO)","2026-02-20","6988d0fa84df32d39ede7e41","2026-02-08T18:07:54.172000","2026-02-20T20:07:32.662000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/c8b777202_POP_09_Auditoria_Qualidade.pdf","2030-02-20","Garantir que todos os processos da Prime Odontologia estejam sendo cumpridos corretamente, identificar falhas, promover melhorias contínuas e manter o padrão premium da clínica.","POP 09 - Auditoria & Qualidade","high","","","0","POP 09","administration","pending","Maria (Supervisão Geral)","2026-02-20","6988d0fa84df32d39ede7e44","2026-02-08T18:07:54.172000","2026-02-20T20:08:07.155000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/d3869eaff_POP_08_Pos_Atendimento_Fidelizacao.pdf","2030-02-20","Acompanhar o paciente após o atendimento, aumentar confiança e fidelização.","POP 08 - Pós-Atendimento & Fidelização","high","","","0","POP 08","support","pending","Maria (IA) / Recepção","2026-02-20","6988d0fa84df32d39ede7e43","2026-02-08T18:07:54.172000","2026-02-20T20:08:33.087000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/37c922a3c_POP_10_Gestao_Maria_Supervisao_Geral.pdf","","Centralizar a gestão da clínica garantindo padrão, controle e crescimento.","POP 10 - Gestão da Maria | Supervisão Geral","critical","","","0","POP 10","administration","pending","Maria - Gestora Geral","","6988d0fa84df32d39ede7e45","2026-02-08T18:07:54.172000","2026-02-08T18:07:54.172000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/79cb277d7_POP_07_Agenda_Confirmacao_Consultas.pdf","2030-02-20","Garantir organização da agenda, reduzir faltas e oferecer uma experiência profissional ao paciente.","POP 07 - Agenda & Confirmação de Consultas","critical","","","0","POP 07","operations","pending","Maria (IA) / Recepção","2026-02-20","6988d0fa84df32d39ede7e42","2026-02-08T18:07:54.172000","2026-02-20T20:08:58.829000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/3c0556545_POP_01_Limpeza.pdf","2031-02-20","Limpar consultórios, chão, superfícies, organizar armários, descartar lixo e conferir materiais","POP 01 - Limpeza da Clínica","critical","","","0","POP 01","operations","pending","Auxiliar","2026-02-20","6987623ab05f5a6eb729cc39","2026-02-07T16:03:06.115000","2026-02-20T20:09:24.465000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/826df3c1b_POP_02_Esterilizacao.pdf","2031-02-20","Lavar, secar, empacotar, esterilizar e guardar instrumentos. Nunca pular etapas","POP 02 - Esterilização de Materiais","high","","","0","POP 02","operations","pending","Auxiliar","2026-02-20","6987623ab05f5a6eb729cc3a","2026-02-07T16:03:06.115000","2026-02-20T20:11:15.512000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/b0db373da_POP_03_Atendimento.pdf","2031-02-20","Acolher, escutar, entender necessidade, agendar avaliação, confirmar consulta e realizar follow-up","POP 03 - Atendimento ao Paciente","high","","","0","POP 03","operations","pending","Recepcionista","2026-02-20","6987623ab05f5a6eb729cc3b","2026-02-07T16:03:06.115000","2026-02-20T20:10:41.762000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/7e22a713a_POP_04_Avaliacao.pdf","2031-02-20","Avaliação clínica, diagnóstico, planejamento e explicação clara ao paciente","POP 04 - Avaliação e Diagnóstico","high","","","0","POP 04","operations","pending","Dr. André","2026-02-20","6987623ab05f5a6eb729cc3c","2026-02-07T16:03:06.115000","2026-02-20T20:11:37.730000","697e811fd4fc2230311435d8","false"
"https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/697e811fd4fc2230311435d7/89f2eff83_POP_05_Estoque_Compras.pdf","2031-02-20","Garantir que nunca faltem materiais essenciais para o funcionamento da clínica","POP 05 - Controle de Estoque & Compras","critical","","","0","POP 05","operations","pending","Dr. André","2026-02-20","6987623ab05f5a6eb729cc3d","2026-02-07T16:03:06.115000","2026-02-20T20:12:11.584000","697e811fd4fc2230311435d8","false"
